fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-7.00,3,0,11,0.5789473684210527,9,0.47368421052631576,11,4,2,1,1
-16.20,6,1,9,0.4090909090909091,14,0.6363636363636364,17,9,2,4,1
-20.90,4,0,8,0.4444444444444444,12,0.6666666666666666,13,6,5,-1,1
-7.10,0,0,11,0.5,10,0.45454545454545453,18,4,4,-4,1
-22.60,6,1,11,0.5789473684210527,16,0.8421052631578947,17,12,4,2,1
-5.80,4,0,12,0.631578947368421,9,0.47368421052631576,11,5,0,4,1
-27.50,4,0,11,0.5,17,0.7727272727272727,18,10,7,-3,1
-22.70,5,0,7,0.3333333333333333,18,0.8571428571428571,25,11,7,-2,1
-19.30,2,0,10,0.45454545454545453,10,0.45454545454545453,10,10,0,2,1
-11.50,3,0,13,0.5652173913043478,12,0.5217391304347826,17,6,3,0,1
-11.40,3,0,11,0.5789473684210527,9,0.47368421052631576,13,6,4,-1,1
-22.00,6,1,6,0.3157894736842105,12,0.631578947368421,13,12,1,5,1
-15.50,4,0,7,0.30434782608695654,15,0.6521739130434783,26,9,3,1,1
-10.20,5,0,12,0.5454545454545454,10,0.45454545454545453,12,6,0,5,1
-9.90,3,0,9,0.47368421052631576,10,0.5263157894736842,13,5,5,-2,1
-1.40,0,0,14,0.6666666666666666,5,0.23809523809523808,5,5,5,-5,1
-20.10,3,0,8,0.34782608695652173,12,0.5217391304347826,12,9,0,3,1
-12.10,5,0,12,0.5454545454545454,7,0.3181818181818182,7,7,0,5,1
-15.10,6,1,13,0.6190476190476191,15,0.7142857142857143,19,8,4,2,1
-19.20,6,1,6,0.3,15,0.75,20,10,4,2,1
-2.10,0,0,10,0.5,5,0.25,5,5,0,0,1
-19.90,4,0,7,0.3181818181818182,14,0.6363636363636364,20,14,2,2,1
-15.10,3,0,13,0.5909090909090909,14,0.6363636363636364,15,10,4,-1,1
-18.60,0,0,13,0.5652173913043478,12,0.5217391304347826,12,6,6,-6,1
-17.40,0,0,10,0.45454545454545453,12,0.5454545454545454,14,12,7,-7,1
-14.80,3,0,12,0.5454545454545454,11,0.5,12,7,1,2,1
-6.00,5,0,13,0.5909090909090909,12,0.5454545454545454,18,5,3,2,1
-7.00,3,0,14,0.6363636363636364,9,0.4090909090909091,10,4,0,3,1
-20.40,6,1,13,0.5909090909090909,12,0.5454545454545454,12,12,0,6,1
